id,writer,,title,dateline,day,period,place
046-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Wednesday Night, March 22",1747-03-22,night,
047-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe",Tuesday Morn. 7 o’clock,1747-03-23,morning,
048-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe",Thursday Morn. 10 o’clock (Mar. 23),1747-03-23,morning,
049-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Thursday Afternoon, March 23",1747-03-23,afternoon,
050-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Wedn. Night, March 22",1747-03-22,,
050-001,james-harlowe-jr,,,,1747-03-22,,
050-002,clarissa-harlowe,,,,1747-03-22,,
051-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Thursday Morning, March 23",1747-03-23,morning,
051-001,charlotte-harlowe,,,,1747-03-23,,
051-002,james-harlowe-jr,,,Thursday Morning.,1747-03-23,morning,
051-003,clarissa-harlowe,,,,1747-03-23,,
052-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Thursday Night, March 23",1747-03-23,night,
053-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Friday Morning, Six o’clock",1747-03-24,morning,
053-001,clarissa-harlowe,,,Friday Morning.,1747-03-24,morning,
054-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Friday Night, March 24",1747-03-24,night,
054-001,arabella-harlowe,,,,1747-03-24,,
054-002,clarissa-harlowe,,,,1747-03-24,,
054-003,charlotte-harlowe,,,,1747-03-24,,
055-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",Friday Midnight,1747-03-24,night,
056-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Saturday, March 25",1747-03-25,,
057-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Sunday Morning, March 26",1747-03-26,morning,
058-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe",Sat. March 25,1747-03-25,,
059-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",Sunday Afternoon,1747-03-26,afternoon,
059-001,roger-solmes,,,"Sunday, March 26.",1747-03-26,,
059-002,clarissa-harlowe,,,,1747-03-27,,
059-003,dorothy-hervey,,,,1747-03-28,,
059-004,clarissa-harlowe,,,,1747-03-29,,
060-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Monday Morning, March 27",1747-03-27,morning,
060-001,john-harlowe,,,"Sunday Night, or rather Monday Morning.",1747-03-26,morning,
060-002,clarissa-harlowe,,,,1747-03-27,,
061-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Monday Afternoon, March 27",1747-03-27,afternoon,
061-001,james-harlowe-jr,,,"Monday, 5 o’clock",1747-03-27,evening,
061-002,clarissa-harlowe,,,Monday Night.,1747-03-27,night,
062-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Tuesday Morning, 7 o’clock",1747-03-28,morning,
062-001,john-harlowe,,,Monday Night.,1747-03-27,night,
063-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Thursday, Three o’clock, March 28",1747-03-28,afternoon,
063-001,clarissa-harlowe,,,Tuesday Afternoon.,1747-03-28,afternoon,
063-002,john-harlowe,,,,1747-03-28,,
063-003,clarissa-harlowe,,,,1747-03-28,,
063-004,john-harlowe,,,,1747-03-28,,
064-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Wednesday Morning, Nine o’clock",1747-03-29,morning,
064-001,robert-lovelace,,,,1747-03-29,,
064-002,clarissa-harlowe,,,Wednesday Morning.,1747-03-29,morning,
065-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Thursday Morning, Daybreak, March 30",1747-03-30,morning,
066-000,mrs-howe,,"Mr. Hickman, to Mrs. Howe","Wednesday, March 29",1747-03-29,,
067-000,annabella-howe,,"Mrs. Howe, to Charles Hickman, Esq.","Thursday, March 30",1747-03-30,,
068-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe",Thursday Morning,1747-03-30,,
069-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Friday, March 31",1747-03-31,,
070-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Thursday Night, March 30",1747-03-30,,
071-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Friday, Three o’clock",1747-03-31,afternoon,
072-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Friday Noon, March 31",1747-03-31,morning,
073-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Saturday, April 1",1747-04-01,,
074-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Saturday, April 2",1747-04-02,,
075-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Sunday Night, April 2",1747-04-02,,
076-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",,1747-04-01,,
077-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Tuesday Morning, Six o’clock",1747-04-04,morning,
078-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",Tuesday Evening; and Continued Through the Night,1747-04-04,evening,
079-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Wednesday, Eleven o’clock, April 5",1747-04-05,morning,
080-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Wednesday, Four o’clock in the Afternoon",1747-04-05,afternoon,
081-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Thursday Morning, April 9",1747-04-09,morning,
082-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Thursday, April 6",1747-04-06,,
083-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",Thursday Night,1747-04-06,,
084-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Friday Morning, Seven o’clock, April 7",1747-04-07,morning,
085-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Friday, One o’clock",1747-04-07,afternoon,
086-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Sat. Morn., Eight o’clock, April 8",1747-04-08,morning,
087-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe",Sat. Afternoon,1747-04-08,afternoon,
088-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",Saturday Afternoon,1747-04-08,afternoon,
089-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Sunday Morning, April 9",1747-04-09,morning,
090-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Sunday Morning, April 9",1747-04-09,morning,
090-001,dorothy-hervey,,,,1747-04-10,,
091-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Ivy Summerhouse, Eleven o’clock",1747-04-09,morning,Ivy Summerhouse
092-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","St. Alban’s, Tuesday Morn. Past One",1747-04-10,,
093-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Tuesday, Nine o’clock",1747-04-10,morning,
094-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",Tuesday Night,1747-04-10,night,
095-000,robert-lovelace,,"Mr. Lovelace, to Joseph Leman",Sat. April 8,1747-04-08,,
096-000,joseph-leman,,"To Robert Lovelace, Esquier, His Honner","Sunday Morning, April 9",1747-04-09,morning,
097-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","St. Alban’s, Monday Night",1747-04-09,night,St. Alban’s
098-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Wednesday, April 12",1747-04-12,,
099-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Tuesday, Wedn. April 11, 12",1747-04-11,,
100-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Wednesday Night, April 12",1747-04-12,,
101-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Thursday Afternoon, April 13",1747-04-13,afternoon,
102-000,clarissa-harlowe,,To Miss Arabella Harlowe,"St. Alban’s, Apr. 11",1747-04-11,,St. Alban’s
103-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-04-11,,
104-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-04-11,,
105-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-04-11,,
106-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.",,1747-04-12,,
107-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Thursday Night, April 13",1747-04-13,night,
108-000,robert-lovelace,,"Mr. Lovelace, to John Belford, Esq.","Tuesday, Apr. 13",1747-04-13,,
