"id","date","from","to"
"077.00","1747-04-04","clarissa-harlowe","annabella-howe"
"078.00","1747-04-04","clarissa-harlowe","annabella-howe"
"079.00","1747-04-05","clarissa-harlowe","annabella-howe"
"080.00","1747-04-05","clarissa-harlowe","annabella-howe"
"081.00","1747-04-09","annabella-howe","clarissa-harlowe"
"082.00","1747-04-06","clarissa-harlowe","annabella-howe"
"083.00","1747-04-06","clarissa-harlowe","annabella-howe"
"084.00","1747-04-07","clarissa-harlowe","annabella-howe"
"085.00","1747-04-07","clarissa-harlowe","annabella-howe"
"086.00","1747-04-08","clarissa-harlowe","annabella-howe"
"087.00","1747-04-08","annabella-howe","clarissa-harlowe"
"088.00","1747-04-08","clarissa-harlowe","annabella-howe"
"089.00","1747-04-09","clarissa-harlowe","annabella-howe"
"090.00","1747-04-09","clarissa-harlowe","annabella-howe"
"090.01",,"dolly-hervey","clarissa-harlowe"
"091.00",,"clarissa-harlowe","annabella-howe"
"092.00","1747-04-04","clarissa-harlowe","annabella-howe"
"093.00","1747-04-04","annabella-howe","clarissa-harlowe"
"094.00","1747-04-04","clarissa-harlowe","annabella-howe"
"095.00","1747-04-08","robert-lovelace","joseph-leman"
"096.00","1747-04-09","joseph-leman","robert-lovelace"
"097.00","1747-04-09","robert-lovelace","john-belford"
"098.00","1747-04-12","clarissa-harlowe","annabella-howe"
"099.00","1747-04-11","robert-lovelace","john-belford"
"100.00","1747-04-12","annabella-howe","clarissa-harlowe"
"101.00","1747-04-13","clarissa-harlowe","annabella-howe"
"102.00","1747-04-11","clarissa-harlowe","arabella-harlowe"
"103.00",,"robert-lovelace","john-belford"
"104.00",,"robert-lovelace","john-belford"
"105.00",,"robert-lovelace","john-belford"
"106.00",,"robert-lovelace","john-belford"
"107.00","1747-04-13","clarissa-harlowe","annabella-howe"
"108.00","1747-04-13","robert-lovelace","john-belford"
"109.00",,"robert-lovelace","john-belford"
"110.00",,"robert-lovelace","john-belford"
"111.00",,"annabella-howe","clarissa-harlowe"
"112.00",,"clarissa-harlowe","annabella-howe"
"113.00",,"clarissa-harlowe","annabella-howe"
"114.00",,"clarissa-harlowe","annabella-howe"
"115.00","1747-04-14","robert-lovelace","john-belford"
"116.00","1747-04-14","clarissa-harlowe","annabella-howe"
"117.00","1747-04-14","robert-lovelace","john-belford"
"118.00",,"robert-lovelace","john-belford"
"119.00","1747-04-15","annabella-howe","clarissa-harlowe"
"120.00","1747-04-15","clarissa-harlowe","annabella-howe"
"121.00","1747-04-15","clarissa-harlowe","annabella-howe"
"122.00","1747-04-16","clarissa-harlowe","annabella-howe"
"123.00",,"clarissa-harlowe","annabella-howe"
"124.00",,"clarissa-harlowe","annabella-howe"
"125.00",,"clarissa-harlowe",
"126.00","1747-04-17",,
"127.00",,"robert-lovelace","john-belford"
"128.00","1747-04-18","annabella-howe","clarissa-harlowe"
"129.00","1747-04-19","clarissa-harlowe","annabella-howe"
"130.00","1747-04-20","clarissa-harlowe","annabella-howe"
"130.01","1747-04-18",,"robert-lovelace"
"131.00","1747-04-20","robert-lovelace","john-belford"
"132.00","1747-04-19","annabella-howe","clarissa-harlowe"
"133.00","1747-04-20","clarissa-harlowe","annabella-howe"
"134.00","1747-04-20",,
"135.00","1747-04-20",,
"136.00","1747-04-21","annabella-howe","clarissa-harlowe"
"137.00","1747-04-22","clarissa-harlowe","annabella-howe"
"138.00","1747-04-21","robert-lovelace","john-belford"
"139.00","1747-04-15","joseph-leman","robert-lovelace"
"140.00","1747-04-17","robert-lovelace","joseph-leman"
"141.00","1747-04-20","clarissa-harlowe","hervey"
"142.00","1747-04-22","annabella-howe","clarissa-harlowe"
"143.00","1747-04-21","john-belford","robert-lovelace"
"144.00","1747-04-21","d-hervey","clarissa-harlowe"
"145.00","1747-04-22","clarissa-harlowe","annabella-howe"
"146.00","1747-04-22","clarissa-harlowe","annabella-howe"
"147.00","1747-04-21","arabella-harlowe","clarissa-harlowe"
"148.00","1747-04-25","annabella-howe","clarissa-harlowe"
"149.00","1747-04-26","clarissa-harlowe","annabella-howe"
"150.00","1747-04-27","annabella-howe","clarissa-harlowe"
"151.00","1747-04-27","annabella-howe",
"152.00","1747-04-24","robert-lovelace","john-belford"
"153.00","1747-04-25","robert-lovelace","john-belford"
"154.00","1747-04-26","robert-lovelace","john-belford"
"155.00","1747-04-26","clarissa-harlowe","annabella-howe"
"156.00","1747-04-27","annabella-howe","clarissa-harlowe"
"157.00","1747-04-27","clarissa-harlowe","annabella-howe"
"158.00","1747-04-28","clarissa-harlowe","annabella-howe"
"159.00","1747-04-30","robert-lovelace","john-belford"
"160.00","1747-04-30","clarissa-harlowe","annabella-howe"
"161.00","1747-05-01","clarissa-harlowe","annabella-howe"
"162.00","1747-05-01","clarissa-harlowe","annabella-howe"
"163.00","1747-05-02","clarissa-harlowe","annabella-howe"
"164.00","1747-05-03","annabella-howe","clarissa-harlowe"
"165.00","1747-05-04","clarissa-harlowe","annabella-howe"
"166.00","1747-05-05","charles-hickman","clarissa-harlowe"
"167.00","1747-05-02","robert-lovelace","john-belford"
"168.00","1747-05-02","robert-lovelace","john-belford"
"169.00","1747-05-02","john-belford","robert-lovelace"
"170.00","1747-05-03","robert-lovelace","john-belford"
"171.00",,,
"172.00","1747-05-04","john-belford","robert-lovelace"
"173.00",,"clarissa-harlowe","annabella-howe"
